course_id,course_name,course_skill,course_duration,course_url,course_description
COURSE001,Data Science Math Skills,"SKILL001,SKILL002",13 hours,https://www.coursera.org/learn/datasciencemathskills,"Data science courses contain math�no avoiding that! This course is designed to teach learners the basic math you will need in order to be successful in almost any data science math course and was created for learners who have basic math skills but may not have taken algebra or pre-calculus. Data Science Math Skills introduces the core math that data science is built upon, with no extra complexity, introducing unfamiliar ideas and math symbols one-at-a-time. "
COURSE002,Inferential Statistics,"SKILL003,SKILL004,SKILL005",17 hours,https://www.coursera.org/learn/inferential-statistics-intro,"This course covers commonly used statistical inference methods for numerical and categorical data. You will learn how to set up and perform hypothesis tests, interpret p-values, and report the results of your analysis in a way that is interpretable for clients or the public. Using numerous data examples, you will learn to report estimates of quantities in a way that expresses the uncertainty of the quantity of interest. You will be guided through installing and using R and RStudio (free statistical software), and will use this software for lab exercises and a final project. The course introduces practical tools for performing data analysis and explores the fundamental concepts necessary to interpret and report results for both categorical and numerical data"
COURSE003,IBM Data Analyst,"SKILL006,SKILL007,SKILL008,SKILL009,SKILL010,SKILL011",132 hours,https://www.coursera.org/professional-certificates/ibm-data-analyst,"Power your data analyst career by learning the core principles of data analysis and gaining hands-on skills practice. You�ll work with a variety of data sources, project scenarios, and data analysis tools, including Excel, SQL, Python, Jupyter Notebooks, and Cognos Analytics, gaining practical experience with data manipulation and applying analytical techniques."
COURSE004,Machine Learning Pipelines with Azure ML Studio,"SKILL008,SKILL012,SKILL013",2 hours,https://www.coursera.org/projects/azure-machine-learning-studio-pipeline,"In this project-based course, you are going to build an end-to-end machine learning pipeline in Azure ML Studio, all without writing a single line of code! This course uses the Adult Income Census data set to train a model to predict an individual's income. It predicts whether an individual's annual income is greater than or less than $50,000. The estimator used in this project is a Two-Class Boosted Decision Tree classifier. Some of the features used to train the model are age, education, occupation, etc. Once you have scored and evaluated the model on the test data, you will deploy the trained model as an Azure Machine Learning web service. In just under an hour, you will be able to send new data to the web service API and receive the resulting predictions"
COURSE005,Python for Everybody,"SKILL007,SKILL014,SKILL015,SKILL016,SKILL017",64 hours,https://www.coursera.org/specializations/python,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, you�ll use the technologies learned throughout the Specialization to design and create your own  applications for data retrieval, processing, and visualization."
COURSE006,Data Science,"SKILL018,SKILL019,SKILL020,SKILL021,SKILL022,SKILL023",308 hours,https://www.coursera.org/specializations/jhu-data-science,"This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, you�ll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material. "
COURSE007,IBM Data Science,"SKILL008,SKILL007,SKILL024,SKILL025,SKILL026,SKILL027,SKILL028,SKILL010",176 hours,https://www.coursera.org/professional-certificates/ibm-data-science,"Data science is one of the hottest professions of the decade, and the demand for data scientists who can analyze data and communicate results to inform data driven decisions has never been greater. This Professional Certificate from IBM will help anyone interested in pursuing a career in data science or machine learning develop career-relevant skills and experience. "
COURSE008,Build Data Analysis and Transformation Skills in R using DPLYR,"SKILL008,SKILL013",2 hours,https://www.coursera.org/projects/dplyr,"Congratulations you've made it to Part 2 of the DPLYR series!  In a moment you will be taken to Rhyme where a Virtual Machine with R, R Studio and DPLYR awaits. Once there you will begin the Project where you will be introduced to the Rhyme Interface and subsequently learn how to use the DPLYR verbs in a more advanced way by building on the foundation learned in the previous course.  Come in,  get experience using R and learn new ways to use the dplyr functions."
COURSE009,Machine Learning,"SKILL027,SKILL028",61 hours,https://www.coursera.org/learn/machine-learning,"This course provides a broad introduction to machine learning, datamining, and statistical pattern recognition. Topics include: (i) Supervised learning (parametric/non-parametric algorithms, support vector machines, kernels, neural networks). (ii) Unsupervised learning (clustering, dimensionality reduction, recommender systems, deep learning). (iii) Best practices in machine learning (bias/variance theory; innovation process in machine learning and AI). The course will also draw from numerous case studies and applications, so that you'll also learn how to apply learning algorithms to building smart robots (perception, control), text understanding (web search, anti-spam), computer vision, medical informatics, audio, database mining, and other areas."
COURSE010,Deep learning,"SKILL028,SKILL029,SKILL030,SKILL031,SKILL032",140 hours,https://www.coursera.org/specializations/deep-learning,"In this Specialization, you will build and train neural network architectures such as Convolutional Neural Networks, Recurrent Neural Networks, LSTMs, Transformers, and learn how to make them better with strategies such as Dropout, BatchNorm, Xavier/He initialization, and more. Get ready to master theoretical concepts and their industry applications using Python and TensorFlow and tackle real-world cases such as speech recognition, music synthesis, chatbots, machine translation, natural language processing, and more."
