learning_path_id,occupation_id,courses,skills
LEARNING_PATH_001,OCCUPATION001,"COURSE001,COURSE002,COURSE003,COURSE004","SKILL001,SKILL002,SKILL003,SKILL004,SKILL005,SKILL006,SKILL007,SKILL008,SKILL009,SKILL010,SKILL011,SKILL012,SKILL013"
LEARNING_PATH_002,OCCUPATION002,"COURSE005,COURSE006,COURSE007,COURSE008","SKILL007,SKILL008,SKILL010,SKILL013,SKILL014,SKILL015,SKILL016,SKILL017,SKILL018,SKILL019,SKILL020,SKILL021,SKILL022,SKILL023,SKILL024,SKILL025,SKILL026,SKILL027,SKILL028"
LEARNING_PATH_003,OCCUPATION002,"COURSE009,COURSE010,COURSE011","SKILL013,SKILL027,SKILL028,SKILL029,SKILL030,SKILL031,SKILL032"
LEARNING_PATH_004,OCCUPATION001,COURSE012,"SKILL007,SKILL010"
LEARNING_PATH_005,OCCUPATION002,COURSE013,"SKILL007,SKILL011"
LEARNING_PATH_006,OCCUPATION001,"COURSE017,COURSE018,COURSE019,COURSE020","SKILL018,SKILL013,SKILL005,SKILL019,SKILL035,SKILL036,SKILL008,SKILL037,SKILL020,SKILL038,SKILL039,SKILL023"
LEARNING_PATH_007,OCCUPATION002,"COURSE021,COURSE022,COURSE023,COURSE024","SKILL040,SKILL007,SKILL041,SKILL042,SKILL043,SKILL039,SKILL044,SKILL045,SKILL046,SKILL013,SKILL047,SKILL048"
LEARNING_PATH_008,OCCUPATION001,"COURSE025,COURSE026,COURSE027,COURSE028","SKILL035,SKILL049,SKILL050,SKILL007,SKILL010,SKILL051"
LEARNING_PATH_009,OCCUPATION002,"COURSE026,COURSE030,COURSE031,COURSE032","SKILL035,SKILL007,SKILL008,SKILL041,SKILL043,SKILL051,SKILL052,SKILL019,SKILL045,SKILL004,SKILL053,SKILL050"
LEARNING_PATH_010,OCCUPATION002,"COURSE033,COURSE034,COURSE035,COURSE036","SKILL035,SKILL054,SKILL032,SKILL055,SKILL056,SKILL013,SKILL057"
LEARNING_PATH_011,OCCUPATION001,"COURSE037,COURSE038,COURSE039","SKILL058,SKILL059,SKILL060,SKILL061,SKILL062,SKILL063,SKILL064,SKILL065,SKILL066,SKILL067,SKILL068,SKILL069"
LEARNING_PATH_012,OCCUPATION002,"COURSE040,COURSE041,COURSE042","SKILL070,SKILL005,SKILL071,SKILL072,SKILL073,SKILL074,SKILL075"
LEARNING_PATH_013,OCCUPATION002,"COURSE043,COURSE044,COURSE045,COURSE046","SKILL030,SKILL029,SKILL076,SKILL077"
LEARNING_PATH_014,OCCUPATION002,"COURSE017,COURSE018,COURSE019,COURSE020","SKILL035,SKILL013,SKILL018,SKILL005,SKILL066,SKILL036,SKILL008,SKILL037,SKILL020,SKILL038,SKILL039,SKILL023"
LEARNING_PATH_015,OCCUPATION002,"COURSE051,COURSE052,COURSE053","SKILL007,SKILL045,SKILL071,SKILL078,SKILL056,SKILL008,SKILL079,SKILL003,SKILL004,SKILL080,SKILL081"
LEARNING_PATH_016,OCCUPATION001,"COURSE054,COURSE055,COURSE056,COURSE057","SKILL005,SKILL082,SKILL004,SKILL056,SKILL075,SKILL079,SKILL083"
LEARNING_PATH_017,OCCUPATION002,"COURSE058,COURSE059,COURSE060,COURSE061","SKILL084,SKILL029,SKILL030,SKILL085,SKILL086,SKILL032,SKILL087,SKILL007,SKILL088,SKILL089,SKILL090,SKILL091"
LEARNING_PATH_018,OCCUPATION002,"COURSE062,COURSE063,COURSE064,COURSE065","SKILL035,SKILL092,SKILL008,SKILL093,SKILL094,SKILL013,SKILL095,SKILL066"
LEARNING_PATH_019,OCCUPATION002,"COURSE066,COURSE067,COURSE068,COURSE069","SKILL096,SKILL097,SKILL098,SKILL099"
LEARNING_PATH_020,OCCUPATION002,"COURSE070,COURSE071,COURSE072,COURSE073","SKILL100,SKILL101,SKILL102,SKILL103,SKILL104,SKILL105,SKILL106,SKILL082,SKILL107,SKILL089"
LEARNING_PATH_021,OCCUPATION001,"COURSE074,COURSE075,COURSE076,COURSE077","SKILL108,SKILL109,SKILL045,SKILL035,SKILL005,SKILL110,SKILL111,SKILL008"
LEARNING_PATH_022,OCCUPATION001,"COURSE078,COURSE079,COURSE080,COURSE081","SKILL008,SKILL055,SKILL010,SKILL035,SKILL016,SKILL101,SKILL066"
LEARNING_PATH_023,OCCUPATION002,"COURSE082,COURSE083,COURSE084,COURSE085","SKILL112,SKILL113,SKILL114,SKILL115,SKILL116,SKILL117,SKILL118,SKILL029"
LEARNING_PATH_024,OCCUPATION001,"COURSE086,COURSE087,COURSE088,COURSE089","SKILL073,SKILL119,SKILL120,SKILL075"
LEARNING_PATH_025,OCCUPATION003,"COURSE090,COURSE091,COURSE092",
