question,tag,length,is_question,is_tech,is_job,group,count_techs,is_domain
"How do I become a freelance web designer and developer if I know basic HTML5, CSS, a little bit of JavaScript, and Bootstrap? Is this adequate enough to become a web developer?",web developer,176,1,1,1,1,4,1
What programming languages should I learn for web development? My goal is to build a text based game online. I have never coded before.,web developer,135,1,1,1,1,1,1
How do I become good freelancer as a web developer?,web developer,51,1,1,1,0,1,1
What are the good ways to learn to become the best web developer?,web developer,65,1,1,1,0,1,1
How do I learn PHP web development as quickly as possible? I have a commerce background.,web developer,88,1,1,1,0,1,1
How good is web development as a career?,web developer,40,1,1,1,0,1,1
What is some good advice for people who try to be a self-taught web developer?,web developer,78,1,1,1,0,1,1
Do I have to be good at math to be a good web developer?,web developer,56,1,1,1,0,1,1
How can I learn enough to get a job as a web developer without going to school?,web developer,79,1,1,1,0,1,1
I am a BCA student. How do I become a good web developer?,web developer,57,1,1,1,0,1,1
"I see 25-year-old developers being offered crazy salaries, like $150 - 200k, in such companies as Google, Facebook, Apple, etc. How can I become highly skilled to qualify for such offers, if I have no formal education but am a web developer?",web developer,241,1,1,1,1,1,1
"How can I find a web development mentor? I’ve read 20 books and websites on HTML, CSS, Javascript, PHP, and MySQL. I've created a database based on 3000 test employees. I want someone to tell me the industry norm, good rules, and when to break them.",web developer,249,1,1,1,1,8,1
"Does web development require algorithms? If yes, How are they used? If no, then is it compulsory to learn to become a web developer?",web developer,132,1,1,1,1,1,1
"How long would it take an average person with no programming background to become a full-stack developer? I want to be proficient in both the front-end and back-end technologies. I have a very basic understanding of HTML, and I'm learning CSS.",web developer,243,1,1,1,1,2,1
How can I become a web developer using Python on the back end? I started a course on Udemy and I’m working through Learn Python the Hard Way. How do I make Python work together with JavaScript and HTML?,web developer,202,1,1,1,1,4,1
How long does it take to learn JavaScript to become a web developer?,web developer,68,1,1,1,0,2,1
I'm 41 years old. I want to go to a coding bootcamp to learn how to become a web developer. Any thoughts or advice? Will I be able to get a job?,web developer,144,1,1,1,1,1,1
How should I start learning Python as a web developer? And how long does it take to become professional and employable?,web developer,119,1,1,1,0,1,1
How long does it take to become a web developer using the Python programming language?,web developer,86,1,1,1,0,1,1
How did you become a good web developer?,web developer,40,1,1,1,0,1,1
How long would it take to learn web development/programming good enough to start freelancing?,web developer,93,1,1,1,0,1,1
How do I get a job as a web developer in Google?,web developer,48,1,1,1,0,1,1
"I already know HTML, CSS, JavaScript & jQuery to some extend. How can I start becoming a web developer and expertise in it? Where can I start?",web developer,142,1,1,1,1,5,1
What are the best video courses online (free) to learn how to become a better web developer (PHP/MYSQL) after the basics?,web developer,121,1,1,1,0,3,1
What goals should I set for myself to become a web developer within a year? How should I improve after that?,web developer,108,1,1,1,0,1,1
How can I learn about WordPress for web development?,web developer,52,1,1,1,0,1,1
How much jQuery do I need to know in order to become a web developer?,web developer,69,1,1,1,0,1,1
How can I become a web developer if I'm not good at programming?,web developer,64,1,1,1,0,1,1
"With no web development skills, how can I become a good web developer?",web developer,70,1,1,1,0,1,1
"Can any one guide me on how to become a web developer? I prefer back end development but learning HTML, CSS, JS and its frameworks seems necessary and it takes a lot of time, should I learn all these before moving to python/PHP?",web developer,228,1,1,1,1,4,1
How can I become a web developer without going online to learn?,web developer,63,1,1,1,0,1,1
"Being a web developer, how can I switch to data science as I am good in Python programming and want to become a data scientist (ML, big data)?",web developer,142,1,1,1,1,2,1
